id,cocina_pir,sala_pir,estudiof_pir
1,0.000509789,0.000362309,0.00072297
2,0.000576923,0.000721926,0.000574186
3,0.011067953,0.872625172,0.002518944
4,0.000778804,0.003494301,0.002517557
5,0.000554172,0.000344948,0.001144764
6,0.000471884,0.001716249,0.000762405
7,0.001389919,0.001605034,0.007175289
8,0.000800921,0.000143446,0.002001473
9,0.000631748,0.000472406,0.002263175
10,0.000551898,0.000516714,0.000651512
11,0.000350139,0.000624409,0.000502055
12,0.000458007,0.000573686,0.000557279
13,0.001106597,0.0001198,0.001115415
14,0.000387768,0.000824658,0.000765633
15,0.000564622,0.000264211,0.001137776
16,0.000319366,0.000532282,0.000501826
17,0.0006515,0.000503912,0.002275612
18,0.000372715,0.000851357,0.000845363
19,0.001752816,0.001610331,0.000945171
20,0.000611476,0.000440074,0.003054135
21,0.000440641,0.000629169,0.00057161
22,0.000299128,7.18E-05,0.002418444
23,0.000315469,0.00227634,0.000741472
24,0.000368824,0.00023471,0.002570924
25,0.000324553,0.000597546,0.000820812
26,0.000325657,0.000112104,0.000583877
27,0.000316327,0.002284144,0.000644999
28,0.000487368,0.000609881,0.000646215
29,0.000772109,0.000249461,0.001333837
30,0.000405261,0.000194226,0.00087501
31,0.00021684,9.51E-05,0.005644745
32,0.000450297,0.00057885,0.000874312
33,0.000403526,0.000514725,0.000697271
34,0.001083106,0.000248681,0.000628898
35,0.981126368,0.015876668,0.005433237
36,0.000677154,0.000465565,0.000644943
37,0.000317656,0.001261582,0.000661451
38,0.000457897,0.000574554,0.000630507
39,0.000451523,0.000492529,0.002111932
40,0.001314654,0.002745497,0.048508085
41,0.000440641,0.000619856,0.0005546
42,0.000728265,0.000683466,0.001500251
43,0.000748945,0.000145213,0.000793495
44,0.010179325,0.639163971,0.000262406
45,0.000634822,0.000647412,0.000621958
46,0.000301933,0.000744806,0.000556308
47,0.000463777,0.000609137,0.000581923
48,0.028093141,0.00437792,0.007481817
49,0.079738811,0.003281615,0.097883753
50,0.000382926,0.00054509,0.001012268
51,0.00035604,0.000100019,0.000457878
52,0.992221534,0.00986074,0.010364057
53,0.000519695,0.000582087,0.000654376
54,0.000632835,0.00071066,0.000999357
55,0.007061327,0.012521392,0.001213871
56,0.000707902,0.000533122,0.001236246
57,0.00055184,0.000420347,0.00560229
58,0.001730613,0.001368917,0.004029355
59,0.00061994,0.000278047,0.003260549
60,0.000630039,0.00077207,0.001296302
61,0.000327881,0.000718916,0.001278897
62,0.001775616,0.000172502,0.060064182
63,0.000601108,0.000135919,0.000866675
64,0.000523368,0.000548955,0.000743618
65,0.000720751,0.000719841,0.006532342
66,0.000749251,0.003750935,0.000613295
67,0.000413357,0.000687357,0.000976917
68,0.000534012,0.000658163,0.000837435
69,0.022954648,0.002950184,0.192777887
70,0.000326295,0.000590819,0.001127302
71,0.000532058,0.00046407,0.000767885
72,0.000449257,0.00064398,0.000593719
73,0.002064676,0.00020935,0.005818602
74,0.000291506,9.30E-05,0.003898269
75,0.000431311,0.000103327,0.00685603
76,0.000364525,0.00021538,0.00404527
77,0.000816852,0.000151678,0.001116633
78,0.000825406,0.000169719,0.000601252
79,0.000509045,0.000416914,0.000564997
80,0.000423472,5.15E-05,0.002891188
81,0.000511733,0.000139914,0.000947673
82,0.000981932,7.51E-05,0.003294623
83,0.022224009,0.028354425,0.027760061
84,0.001837894,0.00021678,0.238689587
85,0.000870411,8.71E-05,0.052956633
86,0.967120051,0.00748977,0.002940592
87,0.001293059,0.000186456,0.018546734
88,0.924773037,0.007564569,0.002214357
89,0.453358859,0.887963116,0.006255827
90,0.000287153,0.00011239,0.000416743
91,0.000276934,0.000357072,0.002584262
92,0.000432408,0.000247405,0.007085188
93,0.000410727,0.000438922,0.002385328
94,0.000634742,0.000179703,0.000481474
95,0.000127591,0.00015593,0.002718207
96,0.000578109,0.000574053,0.000518755
97,0.000473652,0.00083257,0.001608414
98,0.000576326,6.49E-05,0.033097252
99,0.000568332,0.000657428,0.000724742
100,0.021235604,0.402284771,0.001933776
101,0.00034064,0.000155462,0.001406778
102,0.00029321,0.001915189,0.000684786
103,0.000408203,0.00017019,0.035165194
