bano_cuarto,bano_escalera,cocina,cuarto,entrada,escalera,estudiof,estudiot,puerta,sala,tv,vestidor,consumo,id
0,0,0,0.01,0,0,0,0,0,0,0.02,0.73,2430,1
0,0,0,0,0,0,0,0,0,0,0,0,3190,2
0,0,0.01,0.74,0,0,0.11,0,0.01,0.99,0.18,0,3620,3
0,0,0,0.44,0,0.01,0.14,0,0,0.01,0.14,0,3310,4
0,0,0,0,0,0,0,0,0,0,0,0,11915,5
0,0,0,0,0,0.04,0,0,0,0,0,0,3410,6
0,0,0,0.97,0.02,0.02,0.18,0,0.12,0.02,0,0,3780,7
0,0,0,0.91,0,0,0,0,0,0,0,0.99,3160,8
0,0,0,0.91,0,0,0,0,0,0,0,0,3080,9
0,0,0,0,0,0,0,0,0,0,0,0,2520,10
0,0,0,0.05,0,0,0,0,0,0,0.04,0.99,15850,11
0,0,0,0.04,0,0,0,0,0,0,0,0,4620,12
0,0,0,0.21,0,0,0,0,0,0,0.09,1,3685,13
0,0,0,0,0,0,0,0.65,0,0,0,0,3390,14
0,0,0,0.86,0,0,0,0,0,0,0,0,13725,15
0,0,0,0.46,0,0,0,0,0,0,0,0,2410,16
0,0,0,0.01,0,0,0.18,0,0,0,0.37,0.07,2540,17
0,0,0,0.13,0,0,0,0,0,0,0,0.01,3280,18
0,0,0,0,0,0,0,0,0.01,0.01,0,1,3220,19
0,0.06,0,0.95,0,0,0,0,0,0,0,0,3325,20
0,0,0,0,0,0,0,0,0,0,0,0,4300,21
0,0,0,0.97,0,0,0,0,0,0,0,0.99,5780,22
0,0,0,0.06,0,0,0,0,0,0,0,0,2350,23
0,0,0,0.12,0.11,0.14,0.15,0,0.12,0,0.16,0.98,4024.5,24
0,0,0,0.12,0,0,0,0,0,0,0,0,1920,25
0,0,0,0.48,0,0,0,0,0,0,0.58,0.99,5820,26
0,0,0,0.12,0,0,0,0,0,0,0,0,2260,27
0,0,0,0,0,0,0,0,0,0,0,0,2950,28
0,0,0,0.02,0,0,0.06,0.01,0,0,0.06,0.99,3240,29
0,0,0,0.58,0,0,0,0,0,0,0,0.96,3340,30
0,0,0,0.68,0,0,0,0,0,0,0.81,0.73,11790,31
0,0,0,0.17,0,0,0,0,0,0,0,0,3825,32
0,0,0,0.15,0,0,0,0,0,0,0,0,2730,33
0,0,0,0,0,0,0,0,0,0,0,1,3170,34
0.35,0.67,0.99,0.7,0,0.71,0,0.88,0.49,0,0,0,5860,35
